ticker,fiscal_year,roe,source
KTB,2013,0.174472,sec
KTB,2014,0.151477,sec
KTB,2015,0.123598,sec
KTB,2016,0.129062,sec
KTB,2017,0.085794,sec
KTB,2018,0.104724,sec
KTB,2019,0.099782,sec
KTB,2020,0.049084,sec
KTB,2021,0.061372,sec
KTB,2022,0.091525,sec
KTB,2023,0.094046,sec
KTB,2024,0.103651,sec
KTB,2025,0.106659,sec
KTC,2004,0.107978,sec
KTC,2005,0.119718,sec
KTC,2006,0.115372,sec
KTC,2007,0.089536,sec
KTC,2008,0.085897,sec
KTC,2009,-0.061083,sec
KTC,2010,0.035009,sec
KTC,2011,-0.284399,sec
KTC,2012,0.050730,sec
KTC,2013,0.226621,sec
KTC,2014,0.260068,sec
KTC,2015,0.257459,sec
KTC,2016,0.261851,sec
KTC,2017,0.288602,sec
KTC,2018,0.355327,sec
KTC,2019,0.306388,sec
KTC,2020,0.250919,sec
KTC,2021,0.236875,sec
KTC,2022,0.243322,sec
KTC,2023,0.217660,sec
KTC,2024,0.197032,sec
KTC,2025,0.185361,sec
LH,2001,0.129920,sec
LH,2002,0.247151,sec
LH,2003,0.304769,sec
LH,2004,0.271415,sec
LH,2005,0.227327,sec
LH,2006,0.219299,sec
LH,2007,0.129761,sec
LH,2008,0.130881,sec
LH,2009,0.143616,sec
LH,2010,0.142094,sec
LH,2011,0.197136,sec
LH,2012,0.187119,sec
LH,2013,0.199292,sec
LH,2014,0.220487,sec
LH,2015,0.179074,sec
LH,2016,0.186211,sec
LH,2017,0.215733,sec
LH,2018,0.209406,sec
LH,2019,0.195711,sec
